observed_quality,target,n_aa_substitutions,observed,predicted,abs_error,model,split_label,beta_l1_coefficients,data_path,seed,epochs,independent_starts,exp_target,model_string,patience,learning_rate,batch_size,prefix,loss_fn,include_details
2,prob_escape,1,0.05147473,0.010389426,0.048044384,Escape,test,0.0,prepped_avg1muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,2,0.13071908,0.06223619,0.106267154,Escape,test,0.0,prepped_avg1muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,3,0.24482644,0.18452382,0.17338838,Escape,test,0.0,prepped_avg1muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,4,0.39672095,0.35561386,0.22661076,Escape,test,0.0,prepped_avg1muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,1,0.053387195,0.012058588,0.049324926,Escape,val,0.0,prepped_avg1muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,2,0.12049148,0.051018473,0.09929662,Escape,val,0.0,prepped_avg1muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,3,0.24140641,0.17577879,0.1698081,Escape,val,0.0,prepped_avg1muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,4,0.3868217,0.3464742,0.22331296,Escape,val,0.0,prepped_avg1muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,1,0.054491922,0.012263016,0.050148267,Escape,train,0.0,prepped_avg1muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,2,0.12441851,0.056602772,0.101286605,Escape,train,0.0,prepped_avg1muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,3,0.23994814,0.16835074,0.15845859,Escape,train,0.0,prepped_avg1muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,4,0.3570609,0.32244807,0.19821034,Escape,train,0.0,prepped_avg1muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
