observed,predicted,n_aa_substitutions,target,abs_error,observed_quality
0.1281,0.012560841,1,prob_escape,0.11553915,2
0.1078,0.012560841,1,prob_escape,0.09523916,2
0.1103,0.012560841,1,prob_escape,0.09773916,2
0.1018,0.012560841,1,prob_escape,0.089239165,2
0.142,0.012560841,1,prob_escape,0.12943916,2
0.1625,0.012560841,1,prob_escape,0.14993915,2
0.2001,0.012560841,1,prob_escape,0.18753916,2
0.02369,0.012560841,1,prob_escape,0.0111291595,2
0.04476,0.012560841,1,prob_escape,0.03219916,2
0.06583,0.012560841,1,prob_escape,0.05326916,2
0.1195,0.012560841,1,prob_escape,0.10693915,2
0.0,0.012560841,1,prob_escape,0.012560841,2
0.03126,0.012560841,1,prob_escape,0.018699158,2
0.03771,0.012560841,1,prob_escape,0.02514916,2
0.05734,0.012560841,1,prob_escape,0.04477916,2
0.09407,0.012560841,1,prob_escape,0.08150916,2
0.0,0.012560841,1,prob_escape,0.012560841,2
0.0,0.012560841,1,prob_escape,0.012560841,2
0.02561,0.012560841,1,prob_escape,0.013049159,2
0.02675,0.012560841,1,prob_escape,0.0141891595,2
0.02601,0.012560841,1,prob_escape,0.0134491585,2
0.09694,0.006535716,1,prob_escape,0.09040429,2
0.08391,0.006535716,1,prob_escape,0.07737429,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.04202,0.006535716,1,prob_escape,0.035484284,2
0.01832,0.006535716,1,prob_escape,0.011784283,2
0.009453,0.006535716,1,prob_escape,0.0029172837,2
0.06255,0.006535716,1,prob_escape,0.056014284,2
0.05276,0.006535716,1,prob_escape,0.046224285,2
0.001476,0.006535716,1,prob_escape,0.005059716,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.1164,0.006535716,1,prob_escape,0.10986429,2
0.08275,0.006535716,1,prob_escape,0.07621428,2
0.1767,0.006535716,1,prob_escape,0.17016429,2
0.1424,0.006535716,1,prob_escape,0.13586429,2
0.01952,0.006535716,1,prob_escape,0.012984283,2
0.05242,0.006535716,1,prob_escape,0.045884285,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.09849,0.006535716,1,prob_escape,0.09195428,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.02529,0.006535716,1,prob_escape,0.018754283,2
0.02727,0.006535716,1,prob_escape,0.020734284,2
0.03713,0.006535716,1,prob_escape,0.030594282,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.06793,0.006535716,1,prob_escape,0.06139428,2
0.03862,0.006535716,1,prob_escape,0.032084282,2
0.05426,0.006535716,1,prob_escape,0.047724284,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.01215,0.006535716,1,prob_escape,0.005614284,2
0.004977,0.006535716,1,prob_escape,0.001558716,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.09532,0.006535716,1,prob_escape,0.088784285,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.01742,0.006535716,1,prob_escape,0.010884283,2
0.06745,0.006535716,1,prob_escape,0.060914285,2
0.04497,0.006535716,1,prob_escape,0.038434282,2
0.0,0.006535716,1,prob_escape,0.006535716,2
0.51,0.06485383,1,prob_escape,0.44514614,2
0.4855,0.06485383,1,prob_escape,0.4206462,2
0.5215,0.06485383,1,prob_escape,0.45664614,2
0.4276,0.06485383,1,prob_escape,0.36274618,2
0.4797,0.06485383,1,prob_escape,0.41484618,2
0.1364,0.06485383,1,prob_escape,0.07154617,2
0.1124,0.06485383,1,prob_escape,0.04754617,2
0.1522,0.06485383,1,prob_escape,0.08734617,2
0.2141,0.06485383,1,prob_escape,0.14924617,2
0.1756,0.06485383,1,prob_escape,0.110746175,2
0.02914,0.06485383,1,prob_escape,0.035713833,2
0.1868,0.06485383,1,prob_escape,0.12194617,2
0.007137,0.06485383,1,prob_escape,0.05771683,2
0.05682,0.06485383,1,prob_escape,0.008033831,2
0.009893,0.06485383,1,prob_escape,0.054960832,2
0.1092,0.0044181896,1,prob_escape,0.104781814,2
0.2095,0.0044181896,1,prob_escape,0.2050818,2
0.1298,0.0044181896,1,prob_escape,0.12538181,2
0.01127,0.0044181896,1,prob_escape,0.00685181,2
0.0895,0.0044181896,1,prob_escape,0.085081816,2
0.1414,0.0044181896,1,prob_escape,0.1369818,2
0.0456,0.0044181896,1,prob_escape,0.04118181,2
0.1329,0.0044181896,1,prob_escape,0.1284818,2
0.03823,0.0044181896,1,prob_escape,0.033811808,2
0.0,0.0044181896,1,prob_escape,0.0044181896,2
0.0,0.0044181896,1,prob_escape,0.0044181896,2
0.05349,0.0044181896,1,prob_escape,0.04907181,2
0.0,0.0044181896,1,prob_escape,0.0044181896,2
0.0,0.0044181896,1,prob_escape,0.0044181896,2
0.03299,0.0044181896,1,prob_escape,0.02857181,2
0.02718,0.0044181896,1,prob_escape,0.02276181,2
0.0,0.0044181896,1,prob_escape,0.0044181896,2
0.02527,0.0044181896,1,prob_escape,0.02085181,2
0.0,0.0044181896,1,prob_escape,0.0044181896,2
0.0,0.0044181896,1,prob_escape,0.0044181896,2
