observed,predicted,n_aa_substitutions,target,abs_error,observed_quality
0.0,0.0034256182,1,prob_escape,0.0034256182,2
0.0554,0.0034256182,1,prob_escape,0.051974382,2
0.07644,0.0034256182,1,prob_escape,0.07301438,2
0.07072,0.0034256182,1,prob_escape,0.06729438,2
0.09339,0.0034256182,1,prob_escape,0.08996438,2
0.05822,0.0034256182,1,prob_escape,0.054794382,2
0.03024,0.0034256182,1,prob_escape,0.02681438,2
0.01617,0.0034256182,1,prob_escape,0.012744382,2
0.01677,0.0034256182,1,prob_escape,0.013344381,2
0.03099,0.0034256182,1,prob_escape,0.027564382,2
0.03322,0.0034256182,1,prob_escape,0.029794382,2
0.0,0.0034256182,1,prob_escape,0.0034256182,2
0.0,0.0034256182,1,prob_escape,0.0034256182,2
0.01455,0.0034256182,1,prob_escape,0.011124382,2
0.07834,0.0034256182,1,prob_escape,0.07491438,2
0.07684,0.0031929982,1,prob_escape,0.073647,2
0.0,0.0031929982,1,prob_escape,0.0031929982,2
0.01507,0.0031929982,1,prob_escape,0.011877001,2
0.09154,0.0029044375,1,prob_escape,0.088635564,2
0.1509,0.0029044375,1,prob_escape,0.14799556,2
0.0,0.0029044375,1,prob_escape,0.0029044375,2
0.07684,0.0029044375,1,prob_escape,0.07393556,2
0.128,0.0029044375,1,prob_escape,0.12509558,2
0.0,0.0029044375,1,prob_escape,0.0029044375,2
0.1208,0.005095235,1,prob_escape,0.11570477,2
0.07548,0.005095235,1,prob_escape,0.07038476,2
0.0,0.005095235,1,prob_escape,0.005095235,2
0.009763,0.005095235,1,prob_escape,0.0046677645,2
0.0,0.005095235,1,prob_escape,0.005095235,2
0.02089,0.005095235,1,prob_escape,0.015794765,2
0.0319,0.0034199578,1,prob_escape,0.028480042,2
0.1383,0.0034199578,1,prob_escape,0.13488005,2
0.02641,0.0034199578,1,prob_escape,0.022990042,2
0.03622,0.0034199578,1,prob_escape,0.03280004,2
0.08419,0.0034199578,1,prob_escape,0.080770046,2
0.009354,0.0034199578,1,prob_escape,0.005934042,2
0.07766,0.0034199578,1,prob_escape,0.074240044,2
0.1366,0.0034199578,1,prob_escape,0.13318005,2
0.01368,0.0034199578,1,prob_escape,0.010260042,2
0.001474,0.0034199578,1,prob_escape,0.0019459578,2
0.007274,0.0034199578,1,prob_escape,0.0038540422,2
0.04895,0.0034199578,1,prob_escape,0.045530044,2
0.001192,0.0034199578,1,prob_escape,0.0022279578,2
0.0,0.0034199578,1,prob_escape,0.0034199578,2
0.0,0.0034199578,1,prob_escape,0.0034199578,2
0.0,0.0034199578,1,prob_escape,0.0034199578,2
0.0,0.0034199578,1,prob_escape,0.0034199578,2
0.2079,0.006186303,1,prob_escape,0.2017137,2
0.114,0.006186303,1,prob_escape,0.10781369,2
0.006149,0.006186303,1,prob_escape,3.7303194e-05,2
0.1046,0.006186303,1,prob_escape,0.09841369,2
0.01512,0.006186303,1,prob_escape,0.008933697,2
0.04605,0.006186303,1,prob_escape,0.0398637,2
0.08291,0.0040279906,1,prob_escape,0.07888201,2
0.03513,0.0040279906,1,prob_escape,0.031102011,2
0.08354,0.0040279906,1,prob_escape,0.07951201,2
0.0,0.0040279906,1,prob_escape,0.0040279906,2
0.0,0.0040279906,1,prob_escape,0.0040279906,2
0.0,0.0040279906,1,prob_escape,0.0040279906,2
0.005146,0.0040279906,1,prob_escape,0.0011180094,2
0.0006379,0.0040279906,1,prob_escape,0.0033900905,2
0.02961,0.0040279906,1,prob_escape,0.02558201,2
0.1156,0.007170819,1,prob_escape,0.10842918,2
0.08841,0.007170819,1,prob_escape,0.08123918,2
0.09151,0.007170819,1,prob_escape,0.08433918,2
0.2706,0.007170819,1,prob_escape,0.26342916,2
0.05738,0.007170819,1,prob_escape,0.05020918,2
0.04093,0.007170819,1,prob_escape,0.03375918,2
0.03968,0.007170819,1,prob_escape,0.03250918,2
0.0,0.007170819,1,prob_escape,0.007170819,2
0.0,0.007170819,1,prob_escape,0.007170819,2
0.001625,0.007170819,1,prob_escape,0.005545819,2
0.07598,0.008253456,1,prob_escape,0.067726545,2
0.08048,0.008253456,1,prob_escape,0.07222655,2
0.1718,0.008253456,1,prob_escape,0.16354655,2
0.2455,0.008253456,1,prob_escape,0.23724654,2
0.2167,0.008253456,1,prob_escape,0.20844655,2
0.0,0.008253456,1,prob_escape,0.008253456,2
0.0,0.008253456,1,prob_escape,0.008253456,2
0.04246,0.008253456,1,prob_escape,0.034206543,2
0.02796,0.008253456,1,prob_escape,0.019706544,2
0.0,0.008253456,1,prob_escape,0.008253456,2
0.06756,0.008253456,1,prob_escape,0.059306547,2
0.0,0.008253456,1,prob_escape,0.008253456,2
0.0,0.008253456,1,prob_escape,0.008253456,2
0.1153,0.0036977732,1,prob_escape,0.111602224,2
0.139,0.0036977732,1,prob_escape,0.13530223,2
0.05722,0.0036977732,1,prob_escape,0.05352223,2
0.0,0.0036977732,1,prob_escape,0.0036977732,2
0.0,0.0036977732,1,prob_escape,0.0036977732,2
0.1202,0.0036977732,1,prob_escape,0.116502225,2
0.1152,0.0050095245,1,prob_escape,0.11019047,2
0.09345,0.0050095245,1,prob_escape,0.08844048,2
0.0,0.0050095245,1,prob_escape,0.0050095245,2
0.0,0.0050095245,1,prob_escape,0.0050095245,2
0.0,0.0050095245,1,prob_escape,0.0050095245,2
0.1007,0.0050095245,1,prob_escape,0.095690474,2
0.09839,0.0032620928,1,prob_escape,0.0951279,2
0.1472,0.0032620928,1,prob_escape,0.14393792,2
0.07836,0.0032620928,1,prob_escape,0.0750979,2
0.1789,0.0032620928,1,prob_escape,0.17563792,2
0.1039,0.0032620928,1,prob_escape,0.100637905,2
0.0,0.0032620928,1,prob_escape,0.0032620928,2
0.003718,0.0032620928,1,prob_escape,0.00045590708,2
0.04149,0.0032620928,1,prob_escape,0.03822791,2
0.0,0.0032620928,1,prob_escape,0.0032620928,2
0.02254,0.0032620928,1,prob_escape,0.019277906,2
0.07062,0.0032620928,1,prob_escape,0.067357905,2
0.1038,0.0032620928,1,prob_escape,0.1005379,2
0.05221,0.0032620928,1,prob_escape,0.048947908,2
0.1482,0.012070107,1,prob_escape,0.1361299,2
0.2248,0.012070107,1,prob_escape,0.2127299,2
0.13,0.012070107,1,prob_escape,0.11792989,2
0.09927,0.012070107,1,prob_escape,0.0871999,2
0.1523,0.012070107,1,prob_escape,0.1402299,2
0.1589,0.012070107,1,prob_escape,0.14682989,2
0.2248,0.012070107,1,prob_escape,0.2127299,2
0.1949,0.012070107,1,prob_escape,0.1828299,2
0.1457,0.012070107,1,prob_escape,0.13362989,2
0.03798,0.012070107,1,prob_escape,0.025909893,2
0.09604,0.012070107,1,prob_escape,0.0839699,2
0.0811,0.012070107,1,prob_escape,0.0690299,2
0.08247,0.012070107,1,prob_escape,0.070399895,2
0.0,0.012070107,1,prob_escape,0.012070107,2
0.001294,0.012070107,1,prob_escape,0.010776107,2
0.02386,0.012070107,1,prob_escape,0.011789893,2
0.01233,0.012070107,1,prob_escape,0.00025989302,2
0.0649,0.012070107,1,prob_escape,0.052829895,2
0.1213,0.012070107,1,prob_escape,0.10922989,2
0.0,0.012070107,1,prob_escape,0.012070107,2
0.0,0.012070107,1,prob_escape,0.012070107,2
0.04385,0.012070107,1,prob_escape,0.031779893,2
0.03457,0.012070107,1,prob_escape,0.022499893,2
0.0,0.012070107,1,prob_escape,0.012070107,2
0.02406,0.012070107,1,prob_escape,0.011989892,2
0.0,0.012070107,1,prob_escape,0.012070107,2
0.01364,0.012070107,1,prob_escape,0.0015698923,2
0.08075,0.006401316,1,prob_escape,0.07434869,2
0.1075,0.006401316,1,prob_escape,0.10109869,2
0.1765,0.006401316,1,prob_escape,0.17009868,2
0.0,0.006401316,1,prob_escape,0.006401316,2
