observed_quality,target,n_aa_substitutions,observed,predicted,abs_error,model,split_label,beta_l1_coefficients,data_path,seed,epochs,independent_starts,exp_target,model_string,patience,learning_rate,batch_size,prefix,loss_fn,include_details
2,prob_escape,1,0.051760998,0.008468226,0.048977055,Escape,test,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,2,0.12782295,0.058397576,0.10600682,Escape,test,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,3,0.23077501,0.1589531,0.16629596,Escape,test,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,4,0.3663857,0.3348781,0.21430017,Escape,test,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,5,0.5328766,0.5615469,0.22551213,Escape,test,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,1,0.05447932,0.011413857,0.050111648,Escape,val,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,2,0.12920119,0.05517173,0.10645735,Escape,val,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,3,0.2350995,0.15131736,0.16897628,Escape,val,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,4,0.38989133,0.3517862,0.21582454,Escape,val,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,5,0.5333466,0.5469016,0.22304676,Escape,val,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,1,0.054480344,0.009942625,0.050565895,Escape,train,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,2,0.1256566,0.05323125,0.10303519,Escape,train,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,3,0.23960315,0.16237515,0.16561677,Escape,train,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,4,0.3789604,0.34382343,0.2047865,Escape,train,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,5,0.5376989,0.55185854,0.20352915,Escape,train,0.0,prepped_avg2muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
