observed_quality,target,n_aa_substitutions,observed,predicted,abs_error,model,split_label,beta_l1_coefficients,data_path,seed,epochs,independent_starts,exp_target,model_string,patience,learning_rate,batch_size,prefix,loss_fn,include_details
2,prob_escape,1,0.056180313,0.010527576,0.051708966,Escape,test,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,2,0.14399175,0.060436655,0.114107884,Escape,test,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,3,0.24234255,0.16153197,0.16502926,Escape,test,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,4,0.3738125,0.3301275,0.2186463,Escape,test,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,5,0.5364468,0.5616658,0.2250256,Escape,test,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,6,0.68268,0.7462725,0.19246858,Escape,test,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,7,0.80243015,0.8659592,0.13842691,Escape,test,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,1,0.056233272,0.00983328,0.052376203,Escape,val,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,2,0.1318258,0.05138636,0.10838635,Escape,val,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,3,0.238946,0.16014805,0.16997646,Escape,val,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,4,0.37025958,0.3318096,0.22238882,Escape,val,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,5,0.5225976,0.55638146,0.2301252,Escape,val,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,6,0.6769333,0.73502696,0.19033572,Escape,val,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,7,0.802858,0.8650797,0.13589004,Escape,val,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,1,0.056600366,0.010225071,0.052328046,Escape,train,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,2,0.12415807,0.04876298,0.10337236,Escape,train,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,3,0.23700888,0.15602618,0.1663061,Escape,train,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,4,0.3805407,0.34138355,0.21171606,Escape,train,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,5,0.5391785,0.55600935,0.21465813,Escape,train,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,6,0.6695544,0.72129464,0.18261406,Escape,train,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
2,prob_escape,7,0.8109847,0.8652644,0.12133488,Escape,train,0.0,prepped_avg3muts.pkl,0,50,0,1,Escape;3,10,0.01,500,run,l1,True
