observed,predicted,n_aa_substitutions,target,abs_error,observed_quality
0.2044,0.008927246,1,prob_escape,0.19547276,2
0.1336,0.008927246,1,prob_escape,0.12467275,2
0.07186,0.008927246,1,prob_escape,0.06293275,2
0.01241,0.008927246,1,prob_escape,0.0034827543,2
0.01587,0.008927246,1,prob_escape,0.0069427537,2
0.06857,0.0030907781,1,prob_escape,0.06547923,2
0.0,0.0030907781,1,prob_escape,0.0030907781,2
0.07694,0.0030907781,1,prob_escape,0.07384922,2
0.1606,0.0059141093,1,prob_escape,0.1546859,2
0.09623,0.0059141093,1,prob_escape,0.09031589,2
0.1911,0.0059141093,1,prob_escape,0.1851859,2
0.2247,0.0059141093,1,prob_escape,0.2187859,2
0.1135,0.0059141093,1,prob_escape,0.10758589,2
0.07652,0.0059141093,1,prob_escape,0.0706059,2
0.0,0.0059141093,1,prob_escape,0.0059141093,2
0.03213,0.0059141093,1,prob_escape,0.02621589,2
0.07768,0.0059141093,1,prob_escape,0.07176589,2
0.0,0.0059141093,1,prob_escape,0.0059141093,2
0.06176,0.0059141093,1,prob_escape,0.05584589,2
0.0,0.0059141093,1,prob_escape,0.0059141093,2
0.01433,0.0059141093,1,prob_escape,0.008415891,2
0.0,0.0059141093,1,prob_escape,0.0059141093,2
0.05327,0.0059141093,1,prob_escape,0.04735589,2
0.0,0.0059141093,1,prob_escape,0.0059141093,2
0.0,0.0059141093,1,prob_escape,0.0059141093,2
0.01733,0.0031825805,1,prob_escape,0.0141474195,2
0.1073,0.0031825805,1,prob_escape,0.104117416,2
0.08873,0.0031825805,1,prob_escape,0.08554742,2
0.0,0.0031825805,1,prob_escape,0.0031825805,2
0.07141,0.0031825805,1,prob_escape,0.06822742,2
0.05546,0.0031825805,1,prob_escape,0.05227742,2
0.08899,0.0036924907,1,prob_escape,0.08529751,2
0.05732,0.0036924907,1,prob_escape,0.05362751,2
0.0,0.0036924907,1,prob_escape,0.0036924907,2
0.0,0.0036924907,1,prob_escape,0.0036924907,2
0.0,0.0036924907,1,prob_escape,0.0036924907,2
0.01358,0.0036924907,1,prob_escape,0.009887509,2
0.05617,0.0034780446,1,prob_escape,0.05269196,2
0.08481,0.0034780446,1,prob_escape,0.08133196,2
0.08692,0.0034780446,1,prob_escape,0.08344196,2
0.0,0.0034780446,1,prob_escape,0.0034780446,2
0.02879,0.0034780446,1,prob_escape,0.025311956,2
0.0,0.0034780446,1,prob_escape,0.0034780446,2
0.0,0.0034780446,1,prob_escape,0.0034780446,2
0.06899,0.0034780446,1,prob_escape,0.06551196,2
0.0,0.0034780446,1,prob_escape,0.0034780446,2
0.0706,0.0034118472,1,prob_escape,0.06718816,2
0.1383,0.0034118472,1,prob_escape,0.13488816,2
0.06527,0.0034118472,1,prob_escape,0.06185815,2
0.1089,0.0034118472,1,prob_escape,0.10548816,2
0.08214,0.0034118472,1,prob_escape,0.078728154,2
