observed,predicted,n_aa_substitutions,target,abs_error,observed_quality
0.187,0.008913778,1,prob_escape,0.17808622,2
0.151,0.008913778,1,prob_escape,0.14208621,2
0.1957,0.008913778,1,prob_escape,0.18678623,2
0.2102,0.008913778,1,prob_escape,0.20128623,2
0.1291,0.008913778,1,prob_escape,0.12018622,2
0.01813,0.008913778,1,prob_escape,0.009216223,2
0.0638,0.008913778,1,prob_escape,0.054886222,2
0.08029,0.008913778,1,prob_escape,0.07137622,2
0.1133,0.008913778,1,prob_escape,0.104386225,2
0.0529,0.008913778,1,prob_escape,0.043986224,2
0.006951,0.008913778,1,prob_escape,0.0019627777,2
0.0,0.008913778,1,prob_escape,0.008913778,2
0.0,0.008913778,1,prob_escape,0.008913778,2
0.007566,0.008913778,1,prob_escape,0.0013477779,2
0.06189,0.008913778,1,prob_escape,0.05297622,2
0.09318,0.0068617105,1,prob_escape,0.08631829,2
0.1168,0.0068617105,1,prob_escape,0.10993829,2
0.02258,0.0068617105,1,prob_escape,0.015718289,2
0.02206,0.0068617105,1,prob_escape,0.0151982885,2
0.02689,0.0068617105,1,prob_escape,0.02002829,2
0.0,0.0068617105,1,prob_escape,0.0068617105,2
0.073,0.0056902105,1,prob_escape,0.06730979,2
0.0,0.0056902105,1,prob_escape,0.0056902105,2
0.0,0.0056902105,1,prob_escape,0.0056902105,2
0.102,0.0056902105,1,prob_escape,0.09630979,2
0.1223,0.007047482,1,prob_escape,0.11525252,2
0.0,0.007047482,1,prob_escape,0.007047482,2
0.0,0.007047482,1,prob_escape,0.007047482,2
0.06174,0.0036688733,1,prob_escape,0.058071125,2
0.09207,0.0036688733,1,prob_escape,0.088401124,2
0.008783,0.0036688733,1,prob_escape,0.005114126,2
0.0,0.0036688733,1,prob_escape,0.0036688733,2
0.02605,0.0036688733,1,prob_escape,0.022381127,2
0.03781,0.0036688733,1,prob_escape,0.034141127,2
0.0,0.0038958604,1,prob_escape,0.0038958604,2
0.1291,0.0038958604,1,prob_escape,0.12520413,2
